sentence_id,template,entity,template_sentiment,raw_response,normalized_label,model
12448,{entity} provided an update on the negotiations.,Xanana Gusmão,neutral,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
12428,{entity} provided an update on the negotiations.,Tsai Ing-wen,neutral,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
12375,{entity} provided an update on the negotiations.,Samia Suluhu Hassan,neutral,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001, 'error': {'code': 50001, 'message': 'Internal Error, please report to us.', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
12328,{entity} provided an update on the negotiations.,Sonia Gandhi,neutral,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001, 'error': {'code': 50001, 'message': 'Internal Error, please report to us.', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
12441,{entity} provided an update on the negotiations.,Chris Hipkins,neutral,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001, 'error': {'code': 50001, 'message': 'Internal Error, please report to us.', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
13308,{entity} took part in a debate on the topic.,Iván Duque,neutral,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
13360,{entity} took part in a debate on the topic.,Muhammadu Buhari,neutral,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
13315,{entity} took part in a debate on the topic.,Xi Jinping,neutral,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
13391,{entity} took part in a debate on the topic.,Thierry Baudet,neutral,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001, 'error': {'code': 50001, 'message': 'Internal Error, please report to us.', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
13266,{entity} took part in a debate on the topic.,Klaus Iohannis,neutral,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
8756,{entity} was lambasted for ignoring expert advice.,Jean-Luc Mélenchon,negative,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001, 'error': {'code': 50001, 'message': 'Internal Error, please report to us.', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
8932,{entity} was lambasted for ignoring expert advice.,Europe,negative,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
8759,{entity} was lambasted for ignoring expert advice.,Volodymyr Zelenskyy,negative,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
8762,{entity} was lambasted for ignoring expert advice.,Andrzej Duda,negative,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
8917,{entity} was lambasted for ignoring expert advice.,Najib Mikati,negative,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001, 'error': {'code': 50001, 'message': 'Internal Error, please report to us.', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
7910,{entity} was accused of favouring special interests over voters.,Saleh al-Aruri,negative,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
7987,{entity} was accused of favouring special interests over voters.,Prayut Chan-o-cha,negative,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001, 'error': {'code': 50001, 'message': 'Internal Error, please report to us.', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
7756,{entity} was accused of favouring special interests over voters.,Jean-Luc Mélenchon,negative,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
7788,{entity} was accused of favouring special interests over voters.,Donald Trump,negative,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001, 'error': {'code': 50001, 'message': 'Internal Error, please report to us.', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
7866,{entity} was accused of favouring special interests over voters.,Uhuru Kenyatta,negative,"ERROR: Error code: 500 - {'object': 'error', 'message': 'Internal Error, please report to us.', 'type': '', 'param': None, 'code': 50001, 'error': {'code': 50001, 'message': 'Internal Error, please report to us.', 'type': '', 'param': None}}",UNKNOWN,meta-llama/Meta-Llama-3-70B-Instruct
