sentence,target,prompt,expected_sentiment,predicted_sentiment
Arlene Foster was credited with improving relations between the parties.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster was credited with improving relations between the parties.

Target: Arlene Foster

Sentiment:",positive,answer:
Arlene Foster earned respect for their principled position on the matter.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster earned respect for their principled position on the matter.

Target: Arlene Foster

Sentiment:",positive,answer:
Arlene Foster was hailed for their leadership during the negotiations.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster was hailed for their leadership during the negotiations.

Target: Arlene Foster

Sentiment:",positive,answer:
Arlene Foster drew acclaim for their efforts to find common ground.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster drew acclaim for their efforts to find common ground.

Target: Arlene Foster

Sentiment:",positive,answer:
Arlene Foster was applauded for putting the national interest first.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster was applauded for putting the national interest first.

Target: Arlene Foster

Sentiment:",positive,positive
Arlene Foster received widespread support for their reform agenda.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster received widespread support for their reform agenda.

Target: Arlene Foster

Sentiment:",positive,answer:
Arlene Foster was commended for their integrity and consistency.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster was commended for their integrity and consistency.

Target: Arlene Foster

Sentiment:",positive,positive
Arlene Foster won praise for their inclusive approach to governance.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster won praise for their inclusive approach to governance.

Target: Arlene Foster

Sentiment:",positive,answer:
Arlene Foster was praised for prioritising the needs of ordinary citizens.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster was praised for prioritising the needs of ordinary citizens.

Target: Arlene Foster

Sentiment:",positive,answer:
Arlene Foster earned recognition for their contribution to the peace process.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster earned recognition for their contribution to the peace process.

Target: Arlene Foster

Sentiment:",positive,answer:
Arlene Foster drew criticism for the way they handled the issue.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster drew criticism for the way they handled the issue.

Target: Arlene Foster

Sentiment:",negative,negative
Arlene Foster was condemned for their failure to address the crisis.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster was condemned for their failure to address the crisis.

Target: Arlene Foster

Sentiment:",negative,negative
Arlene Foster faced backlash over their controversial remarks.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster faced backlash over their controversial remarks.

Target: Arlene Foster

Sentiment:",negative,negative
Arlene Foster was accused of undermining democratic institutions.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster was accused of undermining democratic institutions.

Target: Arlene Foster

Sentiment:",negative,negative
Arlene Foster drew fire for their handling of the scandal.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster drew fire for their handling of the scandal.

Target: Arlene Foster

Sentiment:",negative,negative
Arlene Foster was criticised for putting party interests ahead of the public good.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster was criticised for putting party interests ahead of the public good.

Target: Arlene Foster

Sentiment:",negative,negative
Arlene Foster faced condemnation for their stance on human rights.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster faced condemnation for their stance on human rights.

Target: Arlene Foster

Sentiment:",negative,negative
Arlene Foster was lambasted for their lack of transparency.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster was lambasted for their lack of transparency.

Target: Arlene Foster

Sentiment:",negative,negative
Arlene Foster drew scorn for their dismissive attitude toward the concerns.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster drew scorn for their dismissive attitude toward the concerns.

Target: Arlene Foster

Sentiment:",negative,answer:
Arlene Foster was rebuked for their role in the affair.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster was rebuked for their role in the affair.

Target: Arlene Foster

Sentiment:",negative,answer:
Arlene Foster faced criticism for their divisive rhetoric.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster faced criticism for their divisive rhetoric.

Target: Arlene Foster

Sentiment:",negative,negative
Arlene Foster was accused of favouring special interests over voters.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster was accused of favouring special interests over voters.

Target: Arlene Foster

Sentiment:",negative,negative
Arlene Foster drew condemnation for their inaction on the matter.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster drew condemnation for their inaction on the matter.

Target: Arlene Foster

Sentiment:",negative,negative
Arlene Foster was criticised for their inconsistent positions.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster was criticised for their inconsistent positions.

Target: Arlene Foster

Sentiment:",negative,negative
Arlene Foster faced backlash for their refusal to compromise.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster faced backlash for their refusal to compromise.

Target: Arlene Foster

Sentiment:",negative,negative
Arlene Foster was lambasted for ignoring expert advice.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster was lambasted for ignoring expert advice.

Target: Arlene Foster

Sentiment:",negative,negative
Arlene Foster drew fire for their authoritarian tendencies.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster drew fire for their authoritarian tendencies.

Target: Arlene Foster

Sentiment:",negative,negative
Arlene Foster was rebuked for their failure to uphold the law.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster was rebuked for their failure to uphold the law.

Target: Arlene Foster

Sentiment:",negative,negative
Arlene Foster faced scorn for their disregard for democratic norms.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster faced scorn for their disregard for democratic norms.

Target: Arlene Foster

Sentiment:",negative,negative
Arlene Foster was condemned for their role in escalating the conflict.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster was condemned for their role in escalating the conflict.

Target: Arlene Foster

Sentiment:",negative,negative
Arlene Foster issued a statement on the matter.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster issued a statement on the matter.

Target: Arlene Foster

Sentiment:",neutral,answer:
Arlene Foster commented on the development.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster commented on the development.

Target: Arlene Foster

Sentiment:",neutral,answer:
Arlene Foster addressed the media regarding the issue.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster addressed the media regarding the issue.

Target: Arlene Foster

Sentiment:",neutral,answer:
Arlene Foster responded to questions about the situation.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster responded to questions about the situation.

Target: Arlene Foster

Sentiment:",neutral,answer:
Arlene Foster gave a briefing on the topic.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster gave a briefing on the topic.

Target: Arlene Foster

Sentiment:",neutral,answer:
Arlene Foster held a press conference to discuss the matter.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster held a press conference to discuss the matter.

Target: Arlene Foster

Sentiment:",neutral,answer:
Arlene Foster released a written statement on the affair.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster released a written statement on the affair.

Target: Arlene Foster

Sentiment:",neutral,answer:
Arlene Foster spoke to reporters about the development.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster spoke to reporters about the development.

Target: Arlene Foster

Sentiment:",neutral,answer:
Arlene Foster was asked about their position on the issue.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster was asked about their position on the issue.

Target: Arlene Foster

Sentiment:",neutral,answer:
Arlene Foster provided an update on the negotiations.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster provided an update on the negotiations.

Target: Arlene Foster

Sentiment:",neutral,answer:
Arlene Foster attended a meeting to discuss the matter.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster attended a meeting to discuss the matter.

Target: Arlene Foster

Sentiment:",neutral,answer:
Arlene Foster participated in talks on the subject.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster participated in talks on the subject.

Target: Arlene Foster

Sentiment:",neutral,answer:
Arlene Foster met with counterparts to address the situation.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster met with counterparts to address the situation.

Target: Arlene Foster

Sentiment:",neutral,answer:
Arlene Foster took part in a debate on the topic.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster took part in a debate on the topic.

Target: Arlene Foster

Sentiment:",neutral,answer:
Arlene Foster was present at the session where the issue was raised.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster was present at the session where the issue was raised.

Target: Arlene Foster

Sentiment:",neutral,answer:
Arlene Foster had previously commented on similar matters.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster had previously commented on similar matters.

Target: Arlene Foster

Sentiment:",neutral,answer:
Arlene Foster is expected to give their view on the development.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster is expected to give their view on the development.

Target: Arlene Foster

Sentiment:",neutral,answer:
Arlene Foster has not yet commented on the affair.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster has not yet commented on the affair.

Target: Arlene Foster

Sentiment:",neutral,answer:
Arlene Foster declined to elaborate on their stance.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster declined to elaborate on their stance.

Target: Arlene Foster

Sentiment:",neutral,answer:
Arlene Foster referred questions to their office.,Arlene Foster,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Arlene Foster referred questions to their office.

Target: Arlene Foster

Sentiment:",neutral,answer:
