sentence,target,prompt,expected_sentiment,predicted_sentiment
Alexei Navalny received widespread support for their reform agenda.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny received widespread support for their reform agenda.

Target: Alexei Navalny

Sentiment:",positive,positive
Alexei Navalny was commended for their integrity and consistency.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny was commended for their integrity and consistency.

Target: Alexei Navalny

Sentiment:",positive,positive
Alexei Navalny won praise for their inclusive approach to governance.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny won praise for their inclusive approach to governance.

Target: Alexei Navalny

Sentiment:",positive,answer:
Alexei Navalny was praised for prioritising the needs of ordinary citizens.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny was praised for prioritising the needs of ordinary citizens.

Target: Alexei Navalny

Sentiment:",positive,positive
Alexei Navalny earned recognition for their contribution to the peace process.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny earned recognition for their contribution to the peace process.

Target: Alexei Navalny

Sentiment:",positive,answer:
Alexei Navalny drew criticism for the way they handled the issue.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny drew criticism for the way they handled the issue.

Target: Alexei Navalny

Sentiment:",negative,negative
Alexei Navalny was condemned for their failure to address the crisis.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny was condemned for their failure to address the crisis.

Target: Alexei Navalny

Sentiment:",negative,negative
Alexei Navalny faced backlash over their controversial remarks.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny faced backlash over their controversial remarks.

Target: Alexei Navalny

Sentiment:",negative,negative
Alexei Navalny was accused of undermining democratic institutions.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny was accused of undermining democratic institutions.

Target: Alexei Navalny

Sentiment:",negative,negative
Alexei Navalny drew fire for their handling of the scandal.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny drew fire for their handling of the scandal.

Target: Alexei Navalny

Sentiment:",negative,negative
Alexei Navalny was criticised for putting party interests ahead of the public good.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny was criticised for putting party interests ahead of the public good.

Target: Alexei Navalny

Sentiment:",negative,negative
Alexei Navalny faced condemnation for their stance on human rights.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny faced condemnation for their stance on human rights.

Target: Alexei Navalny

Sentiment:",negative,negative
Alexei Navalny was lambasted for their lack of transparency.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny was lambasted for their lack of transparency.

Target: Alexei Navalny

Sentiment:",negative,negative
Alexei Navalny drew scorn for their dismissive attitude toward the concerns.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny drew scorn for their dismissive attitude toward the concerns.

Target: Alexei Navalny

Sentiment:",negative,answer:
Alexei Navalny was rebuked for their role in the affair.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny was rebuked for their role in the affair.

Target: Alexei Navalny

Sentiment:",negative,negative
Alexei Navalny faced criticism for their divisive rhetoric.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny faced criticism for their divisive rhetoric.

Target: Alexei Navalny

Sentiment:",negative,negative
Alexei Navalny was accused of favouring special interests over voters.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny was accused of favouring special interests over voters.

Target: Alexei Navalny

Sentiment:",negative,negative
Alexei Navalny drew condemnation for their inaction on the matter.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny drew condemnation for their inaction on the matter.

Target: Alexei Navalny

Sentiment:",negative,negative
Alexei Navalny was criticised for their inconsistent positions.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny was criticised for their inconsistent positions.

Target: Alexei Navalny

Sentiment:",negative,negative
Alexei Navalny faced backlash for their refusal to compromise.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny faced backlash for their refusal to compromise.

Target: Alexei Navalny

Sentiment:",negative,negative
Alexei Navalny was lambasted for ignoring expert advice.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny was lambasted for ignoring expert advice.

Target: Alexei Navalny

Sentiment:",negative,negative
Alexei Navalny drew fire for their authoritarian tendencies.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny drew fire for their authoritarian tendencies.

Target: Alexei Navalny

Sentiment:",negative,negative
Alexei Navalny was rebuked for their failure to uphold the law.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny was rebuked for their failure to uphold the law.

Target: Alexei Navalny

Sentiment:",negative,negative
Alexei Navalny faced scorn for their disregard for democratic norms.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny faced scorn for their disregard for democratic norms.

Target: Alexei Navalny

Sentiment:",negative,negative
Alexei Navalny was condemned for their role in escalating the conflict.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny was condemned for their role in escalating the conflict.

Target: Alexei Navalny

Sentiment:",negative,negative
Alexei Navalny issued a statement on the matter.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny issued a statement on the matter.

Target: Alexei Navalny

Sentiment:",neutral,answer:
Alexei Navalny commented on the development.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny commented on the development.

Target: Alexei Navalny

Sentiment:",neutral,answer:
Alexei Navalny addressed the media regarding the issue.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny addressed the media regarding the issue.

Target: Alexei Navalny

Sentiment:",neutral,answer:
Alexei Navalny responded to questions about the situation.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny responded to questions about the situation.

Target: Alexei Navalny

Sentiment:",neutral,answer:
Alexei Navalny gave a briefing on the topic.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny gave a briefing on the topic.

Target: Alexei Navalny

Sentiment:",neutral,negative
Alexei Navalny held a press conference to discuss the matter.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny held a press conference to discuss the matter.

Target: Alexei Navalny

Sentiment:",neutral,answer:
Alexei Navalny released a written statement on the affair.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny released a written statement on the affair.

Target: Alexei Navalny

Sentiment:",neutral,answer:
Alexei Navalny spoke to reporters about the development.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny spoke to reporters about the development.

Target: Alexei Navalny

Sentiment:",neutral,answer:
Alexei Navalny was asked about their position on the issue.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny was asked about their position on the issue.

Target: Alexei Navalny

Sentiment:",neutral,answer:
Alexei Navalny provided an update on the negotiations.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny provided an update on the negotiations.

Target: Alexei Navalny

Sentiment:",neutral,answer:
Alexei Navalny attended a meeting to discuss the matter.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny attended a meeting to discuss the matter.

Target: Alexei Navalny

Sentiment:",neutral,answer:
Alexei Navalny participated in talks on the subject.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny participated in talks on the subject.

Target: Alexei Navalny

Sentiment:",neutral,answer:
Alexei Navalny met with counterparts to address the situation.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny met with counterparts to address the situation.

Target: Alexei Navalny

Sentiment:",neutral,answer:
Alexei Navalny took part in a debate on the topic.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny took part in a debate on the topic.

Target: Alexei Navalny

Sentiment:",neutral,answer:
Alexei Navalny was present at the session where the issue was raised.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny was present at the session where the issue was raised.

Target: Alexei Navalny

Sentiment:",neutral,answer:
Alexei Navalny had previously commented on similar matters.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny had previously commented on similar matters.

Target: Alexei Navalny

Sentiment:",neutral,answer:
Alexei Navalny is expected to give their view on the development.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny is expected to give their view on the development.

Target: Alexei Navalny

Sentiment:",neutral,answer:
Alexei Navalny has not yet commented on the affair.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny has not yet commented on the affair.

Target: Alexei Navalny

Sentiment:",neutral,answer:
Alexei Navalny declined to elaborate on their stance.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny declined to elaborate on their stance.

Target: Alexei Navalny

Sentiment:",neutral,answer:
Alexei Navalny referred questions to their office.,Alexei Navalny,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alexei Navalny referred questions to their office.

Target: Alexei Navalny

Sentiment:",neutral,answer:
