entity_id,entity_name,region,political_spectrum
79,Mahathir Mohamad,Asia,center
80,Lee Hsien Loong,Asia,center
81,Tharman Shanmugaratnam,Asia,center
82,Ferdinand Marcos Jr,Asia,center-right
83,Rodrigo Duterte,Asia,right
84,Joko Widodo,Asia,center
85,Prabowo Subianto,Asia,right
86,Anwar Ibrahim,Asia,center-left
87,Hun Sen,Asia,center
88,Srettha Thavisin,Asia,center
89,Vladimir Putin,Europe,right
90,Dmitry Medvedev,Europe,center
91,Mikhail Mishustin,Europe,center
92,Alexei Navalny,Europe,opposition
93,Recep Tayyip Erdoğan,Middle East,right
94,Benjamin Netanyahu,Middle East,right
95,Yair Lapid,Middle East,center
96,Mohammed bin Salman,Middle East,right
97,Mohammed bin Zayed,Middle East,center
98,Hassan Rouhani,Middle East,moderate
99,Ebrahim Raisi,Middle East,conservative
100,Qasem Soleimani,Middle East,military
101,Abdul Fattah al-Sisi,Africa,center
102,Mohamed Morsi,Africa,Islamist
103,Cyril Ramaphosa,Africa,left
104,Jacob Zuma,Africa,left
105,William Ruto,Africa,center
106,Raila Odinga,Africa,center-left
107,Paul Kagame,Africa,center
108,Félix Tshisekedi,Africa,center
109,Macky Sall,Africa,center
110,Muhammadu Buhari,Africa,center
111,Bola Tinubu,Africa,center-right
112,Atiku Abubakar,Africa,center
113,Nana Akufo-Addo,Africa,center-right
114,John Mahama,Africa,center-left
115,Alassane Ouattara,Africa,center
116,Uhuru Kenyatta,Africa,center
117,Abiy Ahmed,Africa,center
118,Isaias Afwerki,Africa,left
119,Julius Malema,Africa,left
120,Emmerson Mnangagwa,Africa,center
121,Nelson Chamisa,Africa,center-left
122,Hage Geingob,Africa,left
123,Hakainde Hichilema,Africa,center
124,Lazarus Chakwera,Africa,center
125,Samia Suluhu Hassan,Africa,center
126,John Magufuli,Africa,center
127,Yoweri Museveni,Africa,center
128,Bobi Wine,Africa,left
129,Salva Kiir,Africa,center
130,Édouard Philippe,Europe,center-right
131,Élisabeth Borne,Europe,center
132,Gabriel Attal,Europe,center
133,Matteo Salvini,Europe,right
134,Matteo Renzi,Europe,center
135,Enrico Letta,Europe,center-left
136,Elly Schlein,Europe,left
137,Santiago Abascal,Europe,right
138,Alberto Núñez Feijóo,Europe,center-right
139,Yolanda Díaz,Europe,left
140,Geert Wilders,Europe,right
141,Thierry Baudet,Europe,right
142,Jens Stoltenberg,Europe,center
143,Erna Solberg,Europe,right
144,Magdalena Andersson,Europe,left
145,Jimmie Åkesson,Europe,right
146,Sanna Marin,Europe,left
147,Antti Rinne,Europe,left
148,Kaja Kallas,Europe,center
149,Alar Karis,Europe,center
150,Kersti Kaljulaid,Europe,center
151,Dalia Grybauskaitė,Europe,center
152,Gitanas Nausėda,Europe,center
153,Egils Levits,Europe,center
154,Rumen Radev,Europe,center
155,Zoran Zaev,Europe,center-left
156,Aleksandar Vučić,Europe,center-right
157,Milo Đukanović,Europe,center
158,Albin Kurti,Europe,left
159,Stevo Pendarovski,Europe,center
160,Saleh al-Aruri,Middle East,military
161,Ismail Haniyeh,Middle East,Islamist
162,Mahmoud Abbas,Middle East,center
163,Mohammed Deif,Middle East,military
164,Yehya Sinwar,Middle East,Islamist
165,King Abdullah II,Middle East,monarchy
166,Saad Hariri,Middle East,center
167,Najib Mikati,Middle East,center
168,Bashar al-Assad,Middle East,authoritarian
169,Abdullah Öcalan,Middle East,left
170,Recep Tayyip Erdoğan,Middle East,right
171,Kemal Kılıçdaroğlu,Middle East,center-left
172,Mansur Yavaş,Middle East,center
173,Moon Jae-in,Asia,left
174,Park Geun-hye,Asia,right
175,Hong Kong leader,Asia,center
176,Carrie Lam,Asia,center
177,John Lee,Asia,center
178,Tsai Ing-wen,Asia,center
179,Tony Blair,Europe,center-left
180,Gordon Brown,Europe,center-left
181,David Cameron,Europe,center-right
182 Theresa May,Europe,center-right
183,Liz Truss,Europe,right
184,Jeremy Corbyn,Europe,left
185,Ed Miliband,Europe,left
186,Alex Salmond,Europe,left
187,Ruth Davidson,Europe,center-right
188,Arlene Foster,Europe,right
189,Mary Lou McDonald,Europe,left
190,Jacinda Ardern,Oceania,left
191,Chris Hipkins,Oceania,left
192,Christopher Luxon,Oceania,center-right
193,Scott Morrison,Oceania,center-right
194,Anthony Albanese,Oceania,left
195,Peter Dutton,Oceania,right
196,Pauline Hanson,Oceania,right
197,José Ramos-Horta,Oceania,center-left
198,Xanana Gusmão,Oceania,left
199,Frank Bainimarama,Oceania,center
200,Rabuka,Oceania,center
201,James Marape,Oceania,center
202,Peter O'Neill,Oceania,center
203,Hilda Heine,Oceania,center
204,Taneti Maamau,Oceania,center
205,Kausea Natano,Oceania,center
206,Bob Carr,Oceania,left
207,Kevin Rudd,Oceania,center-left
208,Julia Gillard,Oceania,left
209,Malcolm Turnbull,Oceania,center
210,John Howard,Oceania,center-right
211,Paul Keating,Oceania,left
212,Helen Clark,Oceania,left
213,John Key,Oceania,center-right
214,David Lange,Oceania,left
215,Winston Peters,Oceania,center
216,Patricia Scotland,Europe,center
217,António Guterres,Europe,center
218,Christine Lagarde,Europe,center
219,Kristalina Georgieva,Europe,center
220,Tedros Adhanom,Africa,center
221,Ngozi Okonjo-Iweala,Africa,center
222,Amina Mohammed,Africa,center
223,Phumzile Mlambo-Ngcuka,Africa,left
224,Graça Machel,Africa,left
225,Kofi Annan,Africa,center
226,Ban Ki-moon,Asia,center
227,Boutros Boutros-Ghali,Africa,center
228,Javier Pérez de Cuéllar,Latin America,center
229,Kurt Waldheim,Europe,center
230,Pope Francis,Vatican,center
231,Patriarch Kirill,Europe,conservative
232,Dalai Lama,Asia,center
233,Aung San Suu Kyi,Asia,center-left
234,Min Aung Hlaing,Asia,military
235,Thaksin Shinawatra,Asia,center
236,Yingluck Shinawatra,Asia,center
237,Prayut Chan-o-cha,Asia,center-right
238,Srettha Thavisin,Asia,center
239,Lee Kuan Yew,Asia,center-right
240,Goh Chok Tong,Asia,center
241,Halimah Yacob,Asia,center
242,Tharman Shanmugaratnam,Asia,center
243,Manmohan Singh,Asia,center
244,Priyanka Gandhi,Asia,left
245,Arvind Kejriwal,Asia,center
246,Mamata Banerjee,Asia,center-left
247,Nitish Kumar,Asia,center
248,Chandrababu Naidu,Asia,center-right
249,K Chandrasekhar Rao,Asia,center
250,Pinarayi Vijayan,Asia,left
