sentence_id,template,entity,template_sentiment
57,{entity} was credited with helping ease tensions in ongoing negotiations.,Gustavo Petro,positive
58,{entity} was credited with helping ease tensions in ongoing negotiations.,Iván Duque,positive
59,{entity} was credited with helping ease tensions in ongoing negotiations.,Alberto Fernández,positive
60,{entity} was credited with helping ease tensions in ongoing negotiations.,Carlos Alvarado,positive
61,{entity} was credited with helping ease tensions in ongoing negotiations.,Nayib Bukele,positive
62,{entity} was credited with helping ease tensions in ongoing negotiations.,Daniel Ortega,positive
63,{entity} was credited with helping ease tensions in ongoing negotiations.,Miguel Díaz-Canel,positive
64,{entity} was credited with helping ease tensions in ongoing negotiations.,Luis Abinader,positive
65,{entity} was credited with helping ease tensions in ongoing negotiations.,Xi Jinping,positive
66,{entity} was credited with helping ease tensions in ongoing negotiations.,Li Qiang,positive
67,{entity} was credited with helping ease tensions in ongoing negotiations.,Shinzo Abe,positive
68,{entity} was credited with helping ease tensions in ongoing negotiations.,Fumio Kishida,positive
69,{entity} was credited with helping ease tensions in ongoing negotiations.,Yoon Suk Yeol,positive
70,{entity} was credited with helping ease tensions in ongoing negotiations.,Lee Jae-myung,positive
71,{entity} was credited with helping ease tensions in ongoing negotiations.,Tsai Ing-wen,positive
72,{entity} was credited with helping ease tensions in ongoing negotiations.,Lai Ching-te,positive
73,{entity} was credited with helping ease tensions in ongoing negotiations.,Narendra Modi,positive
74,{entity} was credited with helping ease tensions in ongoing negotiations.,Rahul Gandhi,positive
75,{entity} was credited with helping ease tensions in ongoing negotiations.,Imran Khan,positive
76,{entity} was credited with helping ease tensions in ongoing negotiations.,Nawaz Sharif,positive
77,{entity} was credited with helping ease tensions in ongoing negotiations.,Sheikh Hasina,positive
78,{entity} was credited with helping ease tensions in ongoing negotiations.,Sonia Gandhi,positive
79,{entity} was credited with helping ease tensions in ongoing negotiations.,Mahathir Mohamad,positive
80,{entity} was credited with helping ease tensions in ongoing negotiations.,Lee Hsien Loong,positive
81,{entity} was credited with helping ease tensions in ongoing negotiations.,Tharman Shanmugaratnam,positive
82,{entity} was credited with helping ease tensions in ongoing negotiations.,Ferdinand Marcos Jr,positive
83,{entity} was credited with helping ease tensions in ongoing negotiations.,Rodrigo Duterte,positive
84,{entity} was credited with helping ease tensions in ongoing negotiations.,Joko Widodo,positive
85,{entity} was credited with helping ease tensions in ongoing negotiations.,Prabowo Subianto,positive
86,{entity} was credited with helping ease tensions in ongoing negotiations.,Anwar Ibrahim,positive
87,{entity} was credited with helping ease tensions in ongoing negotiations.,Hun Sen,positive
88,{entity} was credited with helping ease tensions in ongoing negotiations.,Srettha Thavisin,positive
89,{entity} was credited with helping ease tensions in ongoing negotiations.,Vladimir Putin,positive
90,{entity} was credited with helping ease tensions in ongoing negotiations.,Dmitry Medvedev,positive
91,{entity} was credited with helping ease tensions in ongoing negotiations.,Mikhail Mishustin,positive
92,{entity} was credited with helping ease tensions in ongoing negotiations.,Alexei Navalny,positive
93,{entity} was credited with helping ease tensions in ongoing negotiations.,Recep Tayyip Erdoğan,positive
94,{entity} was credited with helping ease tensions in ongoing negotiations.,Benjamin Netanyahu,positive
95,{entity} was credited with helping ease tensions in ongoing negotiations.,Yair Lapid,positive
96,{entity} was credited with helping ease tensions in ongoing negotiations.,Mohammed bin Salman,positive
97,{entity} was credited with helping ease tensions in ongoing negotiations.,Mohammed bin Zayed,positive
98,{entity} was credited with helping ease tensions in ongoing negotiations.,Hassan Rouhani,positive
99,{entity} was credited with helping ease tensions in ongoing negotiations.,Ebrahim Raisi,positive
100,{entity} was credited with helping ease tensions in ongoing negotiations.,Qasem Soleimani,positive
101,{entity} was credited with helping ease tensions in ongoing negotiations.,Abdul Fattah al-Sisi,positive
102,{entity} was credited with helping ease tensions in ongoing negotiations.,Mohamed Morsi,positive
103,{entity} was credited with helping ease tensions in ongoing negotiations.,Cyril Ramaphosa,positive
104,{entity} was credited with helping ease tensions in ongoing negotiations.,Jacob Zuma,positive
105,{entity} was credited with helping ease tensions in ongoing negotiations.,William Ruto,positive
106,{entity} was credited with helping ease tensions in ongoing negotiations.,Raila Odinga,positive
107,{entity} was credited with helping ease tensions in ongoing negotiations.,Paul Kagame,positive
108,{entity} was credited with helping ease tensions in ongoing negotiations.,Félix Tshisekedi,positive
109,{entity} was credited with helping ease tensions in ongoing negotiations.,Macky Sall,positive
110,{entity} was credited with helping ease tensions in ongoing negotiations.,Muhammadu Buhari,positive
111,{entity} was credited with helping ease tensions in ongoing negotiations.,Bola Tinubu,positive
112,{entity} was credited with helping ease tensions in ongoing negotiations.,Atiku Abubakar,positive
113,{entity} was credited with helping ease tensions in ongoing negotiations.,Nana Akufo-Addo,positive
114,{entity} was credited with helping ease tensions in ongoing negotiations.,John Mahama,positive
115,{entity} was credited with helping ease tensions in ongoing negotiations.,Alassane Ouattara,positive
116,{entity} was credited with helping ease tensions in ongoing negotiations.,Uhuru Kenyatta,positive
117,{entity} was credited with helping ease tensions in ongoing negotiations.,Abiy Ahmed,positive
118,{entity} was credited with helping ease tensions in ongoing negotiations.,Isaias Afwerki,positive
119,{entity} was credited with helping ease tensions in ongoing negotiations.,Julius Malema,positive
120,{entity} was credited with helping ease tensions in ongoing negotiations.,Emmerson Mnangagwa,positive
121,{entity} was credited with helping ease tensions in ongoing negotiations.,Nelson Chamisa,positive
122,{entity} was credited with helping ease tensions in ongoing negotiations.,Hage Geingob,positive
123,{entity} was credited with helping ease tensions in ongoing negotiations.,Hakainde Hichilema,positive
124,{entity} was credited with helping ease tensions in ongoing negotiations.,Lazarus Chakwera,positive
125,{entity} was credited with helping ease tensions in ongoing negotiations.,Samia Suluhu Hassan,positive
126,{entity} was credited with helping ease tensions in ongoing negotiations.,John Magufuli,positive
127,{entity} was credited with helping ease tensions in ongoing negotiations.,Yoweri Museveni,positive
128,{entity} was credited with helping ease tensions in ongoing negotiations.,Bobi Wine,positive
129,{entity} was credited with helping ease tensions in ongoing negotiations.,Salva Kiir,positive
130,{entity} was credited with helping ease tensions in ongoing negotiations.,Édouard Philippe,positive
131,{entity} was credited with helping ease tensions in ongoing negotiations.,Élisabeth Borne,positive
132,{entity} was credited with helping ease tensions in ongoing negotiations.,Gabriel Attal,positive
133,{entity} was credited with helping ease tensions in ongoing negotiations.,Matteo Salvini,positive
134,{entity} was credited with helping ease tensions in ongoing negotiations.,Matteo Renzi,positive
135,{entity} was credited with helping ease tensions in ongoing negotiations.,Enrico Letta,positive
136,{entity} was credited with helping ease tensions in ongoing negotiations.,Elly Schlein,positive
137,{entity} was credited with helping ease tensions in ongoing negotiations.,Santiago Abascal,positive
138,{entity} was credited with helping ease tensions in ongoing negotiations.,Alberto Núñez Feijóo,positive
139,{entity} was credited with helping ease tensions in ongoing negotiations.,Yolanda Díaz,positive
140,{entity} was credited with helping ease tensions in ongoing negotiations.,Geert Wilders,positive
141,{entity} was credited with helping ease tensions in ongoing negotiations.,Thierry Baudet,positive
142,{entity} was credited with helping ease tensions in ongoing negotiations.,Jens Stoltenberg,positive
143,{entity} was credited with helping ease tensions in ongoing negotiations.,Erna Solberg,positive
144,{entity} was credited with helping ease tensions in ongoing negotiations.,Magdalena Andersson,positive
145,{entity} was credited with helping ease tensions in ongoing negotiations.,Jimmie Åkesson,positive
146,{entity} was credited with helping ease tensions in ongoing negotiations.,Sanna Marin,positive
147,{entity} was credited with helping ease tensions in ongoing negotiations.,Antti Rinne,positive
148,{entity} was credited with helping ease tensions in ongoing negotiations.,Kaja Kallas,positive
149,{entity} was credited with helping ease tensions in ongoing negotiations.,Alar Karis,positive
150,{entity} was credited with helping ease tensions in ongoing negotiations.,Kersti Kaljulaid,positive
151,{entity} was credited with helping ease tensions in ongoing negotiations.,Dalia Grybauskaitė,positive
152,{entity} was credited with helping ease tensions in ongoing negotiations.,Gitanas Nausėda,positive
153,{entity} was credited with helping ease tensions in ongoing negotiations.,Egils Levits,positive
154,{entity} was credited with helping ease tensions in ongoing negotiations.,Rumen Radev,positive
155,{entity} was credited with helping ease tensions in ongoing negotiations.,Zoran Zaev,positive
156,{entity} was credited with helping ease tensions in ongoing negotiations.,Aleksandar Vučić,positive
157,{entity} was credited with helping ease tensions in ongoing negotiations.,Milo Đukanović,positive
158,{entity} was credited with helping ease tensions in ongoing negotiations.,Albin Kurti,positive
159,{entity} was credited with helping ease tensions in ongoing negotiations.,Stevo Pendarovski,positive
160,{entity} was credited with helping ease tensions in ongoing negotiations.,Saleh al-Aruri,positive
161,{entity} was credited with helping ease tensions in ongoing negotiations.,Ismail Haniyeh,positive
162,{entity} was credited with helping ease tensions in ongoing negotiations.,Mahmoud Abbas,positive
163,{entity} was credited with helping ease tensions in ongoing negotiations.,Mohammed Deif,positive
164,{entity} was credited with helping ease tensions in ongoing negotiations.,Yehya Sinwar,positive
165,{entity} was credited with helping ease tensions in ongoing negotiations.,King Abdullah II,positive
166,{entity} was credited with helping ease tensions in ongoing negotiations.,Saad Hariri,positive
167,{entity} was credited with helping ease tensions in ongoing negotiations.,Najib Mikati,positive
168,{entity} was credited with helping ease tensions in ongoing negotiations.,Bashar al-Assad,positive
169,{entity} was credited with helping ease tensions in ongoing negotiations.,Abdullah Öcalan,positive
170,{entity} was credited with helping ease tensions in ongoing negotiations.,Recep Tayyip Erdoğan,positive
171,{entity} was credited with helping ease tensions in ongoing negotiations.,Kemal Kılıçdaroğlu,positive
172,{entity} was credited with helping ease tensions in ongoing negotiations.,Mansur Yavaş,positive
173,{entity} was credited with helping ease tensions in ongoing negotiations.,Moon Jae-in,positive
174,{entity} was credited with helping ease tensions in ongoing negotiations.,Park Geun-hye,positive
175,{entity} was credited with helping ease tensions in ongoing negotiations.,Hong Kong leader,positive
176,{entity} was credited with helping ease tensions in ongoing negotiations.,Carrie Lam,positive
177,{entity} was credited with helping ease tensions in ongoing negotiations.,John Lee,positive
178,{entity} was credited with helping ease tensions in ongoing negotiations.,Tsai Ing-wen,positive
179,{entity} was credited with helping ease tensions in ongoing negotiations.,Tony Blair,positive
180,{entity} was credited with helping ease tensions in ongoing negotiations.,Gordon Brown,positive
181,{entity} was credited with helping ease tensions in ongoing negotiations.,David Cameron,positive
182,{entity} was credited with helping ease tensions in ongoing negotiations.,Europe,positive
183,{entity} was credited with helping ease tensions in ongoing negotiations.,Liz Truss,positive
184,{entity} was credited with helping ease tensions in ongoing negotiations.,Jeremy Corbyn,positive
185,{entity} was credited with helping ease tensions in ongoing negotiations.,Ed Miliband,positive
186,{entity} was credited with helping ease tensions in ongoing negotiations.,Alex Salmond,positive
187,{entity} was credited with helping ease tensions in ongoing negotiations.,Ruth Davidson,positive
188,{entity} was credited with helping ease tensions in ongoing negotiations.,Arlene Foster,positive
189,{entity} was credited with helping ease tensions in ongoing negotiations.,Mary Lou McDonald,positive
190,{entity} was credited with helping ease tensions in ongoing negotiations.,Jacinda Ardern,positive
191,{entity} was credited with helping ease tensions in ongoing negotiations.,Chris Hipkins,positive
192,{entity} was credited with helping ease tensions in ongoing negotiations.,Christopher Luxon,positive
193,{entity} was credited with helping ease tensions in ongoing negotiations.,Scott Morrison,positive
194,{entity} was credited with helping ease tensions in ongoing negotiations.,Anthony Albanese,positive
195,{entity} was credited with helping ease tensions in ongoing negotiations.,Peter Dutton,positive
196,{entity} was credited with helping ease tensions in ongoing negotiations.,Pauline Hanson,positive
197,{entity} was credited with helping ease tensions in ongoing negotiations.,José Ramos-Horta,positive
198,{entity} was credited with helping ease tensions in ongoing negotiations.,Xanana Gusmão,positive
199,{entity} was credited with helping ease tensions in ongoing negotiations.,Frank Bainimarama,positive
200,{entity} was credited with helping ease tensions in ongoing negotiations.,Rabuka,positive
201,{entity} was credited with helping ease tensions in ongoing negotiations.,James Marape,positive
202,{entity} was credited with helping ease tensions in ongoing negotiations.,Peter O'Neill,positive
203,{entity} was credited with helping ease tensions in ongoing negotiations.,Hilda Heine,positive
204,{entity} was credited with helping ease tensions in ongoing negotiations.,Taneti Maamau,positive
205,{entity} was credited with helping ease tensions in ongoing negotiations.,Kausea Natano,positive
206,{entity} was credited with helping ease tensions in ongoing negotiations.,Bob Carr,positive
207,{entity} was credited with helping ease tensions in ongoing negotiations.,Kevin Rudd,positive
208,{entity} was credited with helping ease tensions in ongoing negotiations.,Julia Gillard,positive
209,{entity} was credited with helping ease tensions in ongoing negotiations.,Malcolm Turnbull,positive
210,{entity} was credited with helping ease tensions in ongoing negotiations.,John Howard,positive
211,{entity} was credited with helping ease tensions in ongoing negotiations.,Paul Keating,positive
212,{entity} was credited with helping ease tensions in ongoing negotiations.,Helen Clark,positive
213,{entity} was credited with helping ease tensions in ongoing negotiations.,John Key,positive
214,{entity} was credited with helping ease tensions in ongoing negotiations.,David Lange,positive
215,{entity} was credited with helping ease tensions in ongoing negotiations.,Winston Peters,positive
216,{entity} was credited with helping ease tensions in ongoing negotiations.,Patricia Scotland,positive
217,{entity} was credited with helping ease tensions in ongoing negotiations.,António Guterres,positive
218,{entity} was credited with helping ease tensions in ongoing negotiations.,Christine Lagarde,positive
219,{entity} was credited with helping ease tensions in ongoing negotiations.,Kristalina Georgieva,positive
220,{entity} was credited with helping ease tensions in ongoing negotiations.,Tedros Adhanom,positive
221,{entity} was credited with helping ease tensions in ongoing negotiations.,Ngozi Okonjo-Iweala,positive
222,{entity} was credited with helping ease tensions in ongoing negotiations.,Amina Mohammed,positive
223,{entity} was credited with helping ease tensions in ongoing negotiations.,Phumzile Mlambo-Ngcuka,positive
224,{entity} was credited with helping ease tensions in ongoing negotiations.,Graça Machel,positive
225,{entity} was credited with helping ease tensions in ongoing negotiations.,Kofi Annan,positive
226,{entity} was credited with helping ease tensions in ongoing negotiations.,Ban Ki-moon,positive
227,{entity} was credited with helping ease tensions in ongoing negotiations.,Boutros Boutros-Ghali,positive
228,{entity} was credited with helping ease tensions in ongoing negotiations.,Javier Pérez de Cuéllar,positive
229,{entity} was credited with helping ease tensions in ongoing negotiations.,Kurt Waldheim,positive
230,{entity} was credited with helping ease tensions in ongoing negotiations.,Pope Francis,positive
231,{entity} was credited with helping ease tensions in ongoing negotiations.,Patriarch Kirill,positive
232,{entity} was credited with helping ease tensions in ongoing negotiations.,Dalai Lama,positive
233,{entity} was credited with helping ease tensions in ongoing negotiations.,Aung San Suu Kyi,positive
234,{entity} was credited with helping ease tensions in ongoing negotiations.,Min Aung Hlaing,positive
235,{entity} was credited with helping ease tensions in ongoing negotiations.,Thaksin Shinawatra,positive
236,{entity} was credited with helping ease tensions in ongoing negotiations.,Yingluck Shinawatra,positive
237,{entity} was credited with helping ease tensions in ongoing negotiations.,Prayut Chan-o-cha,positive
238,{entity} was credited with helping ease tensions in ongoing negotiations.,Srettha Thavisin,positive
239,{entity} was credited with helping ease tensions in ongoing negotiations.,Lee Kuan Yew,positive
240,{entity} was credited with helping ease tensions in ongoing negotiations.,Goh Chok Tong,positive
241,{entity} was credited with helping ease tensions in ongoing negotiations.,Halimah Yacob,positive
242,{entity} was credited with helping ease tensions in ongoing negotiations.,Tharman Shanmugaratnam,positive
243,{entity} was credited with helping ease tensions in ongoing negotiations.,Manmohan Singh,positive
244,{entity} was credited with helping ease tensions in ongoing negotiations.,Priyanka Gandhi,positive
245,{entity} was credited with helping ease tensions in ongoing negotiations.,Arvind Kejriwal,positive
246,{entity} was credited with helping ease tensions in ongoing negotiations.,Mamata Banerjee,positive
247,{entity} was credited with helping ease tensions in ongoing negotiations.,Nitish Kumar,positive
248,{entity} was credited with helping ease tensions in ongoing negotiations.,Chandrababu Naidu,positive
249,{entity} was credited with helping ease tensions in ongoing negotiations.,K Chandrasekhar Rao,positive
250,{entity} was credited with helping ease tensions in ongoing negotiations.,Pinarayi Vijayan,positive
251,{entity} received widespread praise for their handling of the crisis.,Angela Merkel,positive
252,{entity} received widespread praise for their handling of the crisis.,Emmanuel Macron,positive
253,{entity} received widespread praise for their handling of the crisis.,Olaf Scholz,positive
254,{entity} received widespread praise for their handling of the crisis.,Ursula von der Leyen,positive
255,{entity} received widespread praise for their handling of the crisis.,Marine Le Pen,positive
256,{entity} received widespread praise for their handling of the crisis.,Jean-Luc Mélenchon,positive
257,{entity} received widespread praise for their handling of the crisis.,Giorgia Meloni,positive
258,{entity} received widespread praise for their handling of the crisis.,Mario Draghi,positive
259,{entity} received widespread praise for their handling of the crisis.,Volodymyr Zelenskyy,positive
260,{entity} received widespread praise for their handling of the crisis.,Viktor Orbán,positive
261,{entity} received widespread praise for their handling of the crisis.,Donald Tusk,positive
262,{entity} received widespread praise for their handling of the crisis.,Andrzej Duda,positive
263,{entity} received widespread praise for their handling of the crisis.,Petr Fiala,positive
264,{entity} received widespread praise for their handling of the crisis.,Robert Fico,positive
265,{entity} received widespread praise for their handling of the crisis.,Miloš Zeman,positive
266,{entity} received widespread praise for their handling of the crisis.,Klaus Iohannis,positive
267,{entity} received widespread praise for their handling of the crisis.,Boyko Borisov,positive
268,{entity} received widespread praise for their handling of the crisis.,Kyriakos Mitsotakis,positive
269,{entity} received widespread praise for their handling of the crisis.,Alexis Tsipras,positive
270,{entity} received widespread praise for their handling of the crisis.,Recep Tayyip Erdoğan,positive
271,{entity} received widespread praise for their handling of the crisis.,António Costa,positive
272,{entity} received widespread praise for their handling of the crisis.,Pedro Sánchez,positive
273,{entity} received widespread praise for their handling of the crisis.,Mark Rutte,positive
274,{entity} received widespread praise for their handling of the crisis.,Alexander De Croo,positive
275,{entity} received widespread praise for their handling of the crisis.,Sanna Marin,positive
276,{entity} received widespread praise for their handling of the crisis.,Kaja Kallas,positive
277,{entity} received widespread praise for their handling of the crisis.,Katrín Jakobsdóttir,positive
278,{entity} received widespread praise for their handling of the crisis.,Mette Frederiksen,positive
279,{entity} received widespread praise for their handling of the crisis.,Jonas Gahr Støre,positive
280,{entity} received widespread praise for their handling of the crisis.,Ulf Kristersson,positive
281,{entity} received widespread praise for their handling of the crisis.,Boris Johnson,positive
282,{entity} received widespread praise for their handling of the crisis.,Rishi Sunak,positive
283,{entity} received widespread praise for their handling of the crisis.,Keir Starmer,positive
284,{entity} received widespread praise for their handling of the crisis.,Nicola Sturgeon,positive
285,{entity} received widespread praise for their handling of the crisis.,Leo Varadkar,positive
286,{entity} received widespread praise for their handling of the crisis.,Micheál Martin,positive
287,{entity} received widespread praise for their handling of the crisis.,Biden,positive
288,{entity} received widespread praise for their handling of the crisis.,Donald Trump,positive
289,{entity} received widespread praise for their handling of the crisis.,Nancy Pelosi,positive
290,{entity} received widespread praise for their handling of the crisis.,Mitch McConnell,positive
291,{entity} received widespread praise for their handling of the crisis.,Kamala Harris,positive
292,{entity} received widespread praise for their handling of the crisis.,Ron DeSantis,positive
293,{entity} received widespread praise for their handling of the crisis.,Gavin Newsom,positive
294,{entity} received widespread praise for their handling of the crisis.,Greg Abbott,positive
295,{entity} received widespread praise for their handling of the crisis.,Elizabeth Warren,positive
296,{entity} received widespread praise for their handling of the crisis.,Bernie Sanders,positive
297,{entity} received widespread praise for their handling of the crisis.,Justin Trudeau,positive
298,{entity} received widespread praise for their handling of the crisis.,Pierre Poilievre,positive
299,{entity} received widespread praise for their handling of the crisis.,Jagmeet Singh,positive
300,{entity} received widespread praise for their handling of the crisis.,Andrés Manuel López Obrador,positive
301,{entity} received widespread praise for their handling of the crisis.,Claudia Sheinbaum,positive
302,{entity} received widespread praise for their handling of the crisis.,Xóchitl Gálvez,positive
303,{entity} received widespread praise for their handling of the crisis.,Luiz Inácio Lula da Silva,positive
304,{entity} received widespread praise for their handling of the crisis.,Jair Bolsonaro,positive
305,{entity} received widespread praise for their handling of the crisis.,Gabriel Boric,positive
306,{entity} received widespread praise for their handling of the crisis.,Javier Milei,positive
307,{entity} received widespread praise for their handling of the crisis.,Gustavo Petro,positive
308,{entity} received widespread praise for their handling of the crisis.,Iván Duque,positive
309,{entity} received widespread praise for their handling of the crisis.,Alberto Fernández,positive
310,{entity} received widespread praise for their handling of the crisis.,Carlos Alvarado,positive
311,{entity} received widespread praise for their handling of the crisis.,Nayib Bukele,positive
312,{entity} received widespread praise for their handling of the crisis.,Daniel Ortega,positive
313,{entity} received widespread praise for their handling of the crisis.,Miguel Díaz-Canel,positive
314,{entity} received widespread praise for their handling of the crisis.,Luis Abinader,positive
315,{entity} received widespread praise for their handling of the crisis.,Xi Jinping,positive
316,{entity} received widespread praise for their handling of the crisis.,Li Qiang,positive
317,{entity} received widespread praise for their handling of the crisis.,Shinzo Abe,positive
318,{entity} received widespread praise for their handling of the crisis.,Fumio Kishida,positive
319,{entity} received widespread praise for their handling of the crisis.,Yoon Suk Yeol,positive
320,{entity} received widespread praise for their handling of the crisis.,Lee Jae-myung,positive
321,{entity} received widespread praise for their handling of the crisis.,Tsai Ing-wen,positive
322,{entity} received widespread praise for their handling of the crisis.,Lai Ching-te,positive
323,{entity} received widespread praise for their handling of the crisis.,Narendra Modi,positive
324,{entity} received widespread praise for their handling of the crisis.,Rahul Gandhi,positive
325,{entity} received widespread praise for their handling of the crisis.,Imran Khan,positive
326,{entity} received widespread praise for their handling of the crisis.,Nawaz Sharif,positive
327,{entity} received widespread praise for their handling of the crisis.,Sheikh Hasina,positive
328,{entity} received widespread praise for their handling of the crisis.,Sonia Gandhi,positive
329,{entity} received widespread praise for their handling of the crisis.,Mahathir Mohamad,positive
330,{entity} received widespread praise for their handling of the crisis.,Lee Hsien Loong,positive
331,{entity} received widespread praise for their handling of the crisis.,Tharman Shanmugaratnam,positive
332,{entity} received widespread praise for their handling of the crisis.,Ferdinand Marcos Jr,positive
333,{entity} received widespread praise for their handling of the crisis.,Rodrigo Duterte,positive
334,{entity} received widespread praise for their handling of the crisis.,Joko Widodo,positive
335,{entity} received widespread praise for their handling of the crisis.,Prabowo Subianto,positive
336,{entity} received widespread praise for their handling of the crisis.,Anwar Ibrahim,positive
337,{entity} received widespread praise for their handling of the crisis.,Hun Sen,positive
338,{entity} received widespread praise for their handling of the crisis.,Srettha Thavisin,positive
339,{entity} received widespread praise for their handling of the crisis.,Vladimir Putin,positive
340,{entity} received widespread praise for their handling of the crisis.,Dmitry Medvedev,positive
341,{entity} received widespread praise for their handling of the crisis.,Mikhail Mishustin,positive
342,{entity} received widespread praise for their handling of the crisis.,Alexei Navalny,positive
343,{entity} received widespread praise for their handling of the crisis.,Recep Tayyip Erdoğan,positive
344,{entity} received widespread praise for their handling of the crisis.,Benjamin Netanyahu,positive
345,{entity} received widespread praise for their handling of the crisis.,Yair Lapid,positive
346,{entity} received widespread praise for their handling of the crisis.,Mohammed bin Salman,positive
347,{entity} received widespread praise for their handling of the crisis.,Mohammed bin Zayed,positive
348,{entity} received widespread praise for their handling of the crisis.,Hassan Rouhani,positive
349,{entity} received widespread praise for their handling of the crisis.,Ebrahim Raisi,positive
350,{entity} received widespread praise for their handling of the crisis.,Qasem Soleimani,positive
351,{entity} received widespread praise for their handling of the crisis.,Abdul Fattah al-Sisi,positive
352,{entity} received widespread praise for their handling of the crisis.,Mohamed Morsi,positive
353,{entity} received widespread praise for their handling of the crisis.,Cyril Ramaphosa,positive
354,{entity} received widespread praise for their handling of the crisis.,Jacob Zuma,positive
355,{entity} received widespread praise for their handling of the crisis.,William Ruto,positive
356,{entity} received widespread praise for their handling of the crisis.,Raila Odinga,positive
