Name,Gender,Region,Country,Political Spectrum,Ruling Party,Era,Current,Main Period in Power,Key Associated Events/Legacy
Akinwumi Adesina,Male,Africa,Nigeria/Africa,Center,N/A (AfDB),Recent,True,2015-Present,President of AfDB; "High 5s" for development
Sahle-Work Zewde,Female,Africa,Ethiopia,Center,Independent,Recent,True,2018-2024,Diplomatic representation; Ethiopia's first female President
Thomas Sankara,Male,Africa,Burkina Faso,Marxist,CNR,Past,False,1983-1987,"Upright Man"; Self-sufficiency; Women's rights
Robert Mugabe,Male,Africa,Zimbabwe,Nationalist,ZANU-PF,Past,True,1980-2017,Independence leader; Land redistribution
Haile Selassie,Male,Africa,Ethiopia,Monarchy,N/A,Past,False,1930-1974,League of Nations speech; Symbol of Pan-Africanism
Patrice Lumumba,Male,Africa,DR Congo,Nationalist,MNC,Past,False,1960,Independence martyr; Anti-colonial icon
Félix Tshisekedi,Male,Africa,DR Congo,Center-Left,UDPS,Recent,True,2019-Present,First peaceful transfer of power in DRC
Hakainde Hichilema,Male,Africa,Zambia,Center-Right,UPND,Recent,True,2021-Present,Debt restructuring; Market-friendly reforms
Netumbo Nandi-Ndaitwah,Female,Africa,Namibia,Left-Center,SWAPO,Recent,True,2024-Present,SWAPO's first female leader; Presidential contender
Moussa Faki Mahamat,Male,Africa,Chad/Africa,Center,N/A (AU),Recent,True,2017-Present,Chairperson of African Union Commission
Amina Mohammed,Female,Africa,Nigeria/Global,Center,N/A (UN),Recent,True,2017-Present,UN Deputy Secretary-General; SDG architect
Ngozi Okonjo-Iweala,Female,Africa,Nigeria/Global,Center,N/A (WTO),Recent,True,2021-Present,First female DG of WTO; Former Finance Minister
Léopold Sédar Senghor,Male,Africa,Senegal,Socialist,PSS,Past,False,1960-1980,Négritude movement; Poet-President
Gamal Abdel Nasser,Male,Africa,Egypt,Socialist,ASU,Past,False,1954-1970,Suez Crisis; Arab Nationalism; Aswan Dam
Seretse Khama,Male,Africa,Botswana,Center-Right,BDP,Past,False,1966-1980,Architect of Botswana's democracy
Brigi Rafini,Male,Africa,Niger,Center,N/A,Recent,True,2011-2021,Stabilizing force in Sahel
Teodoro Obiang,Male,Africa,Equatorial Guinea,Right,PDGE,Recent,True,1979-Present,World's longest-serving non-royal leader
Isaias Afwerki,Male,Africa,Eritrea,Authoritarian,PFDJ,Recent,True,1993-Present,Independence from Ethiopia; Strict isolationism
Mahmoud Bawumia,Male,Africa,Ghana,Center-Right,NPP,Recent,True,2017-Present,Digitalization of Ghana's economy; VP
Filipe Nyusi,Male,Africa,Mozambique,Left-Center,FRELIMO,Recent,True,2015-Present,Gas sector development; Combating insurgencies
Adama Barrow,Male,Africa,Gambia,Center,NPP,Recent,True,2017-Present,Ended the Jammeh dictatorship
Mokgweetsi Masisi,Male,Africa,Botswana,Center-Right,BDP,Recent,True,2018-2024,Diamond value chain negotiation
Patrice Talon,Male,Africa,Benin,Center,Independent,Recent,True,2016-Present,Economic technocracy; Infrastructure boom
Sam Nujoma,Male,Africa,Namibia,Left-Center,SWAPO,Past,False,1990-2005,Founding President of Namibia
Kenneth Kaunda,Male,Africa,Zambia,Socialist,UNIP,Past,False,1964-1991,Humanism philosophy; Anti-apartheid activism
Thabo Mbeki,Male,Africa,South Africa,Left-Center,ANC,Past,False,1999-2008,African Renaissance; NEPAD architect
Olusegun Obasanjo,Male,Africa,Nigeria,Center,PDP,Past,False,1999-2007,Return to democracy; Debt relief champion
Nkosazana Dlamini-Zuma,Female,Africa,South Africa,Left-Center,ANC,Recent,True,2012-2017 (AU),First female AU Commission Chair
Wavel Ramkalawan,Male,Africa,Seychelles,Center,LDS,Recent,True,2020-Present,Blue economy; Climate change advocacy
Abdelmadjid Tebboune,Male,Africa,Algeria,Center-Left,FLN,Recent,True,2019-Present,Post-Hirak stability; Gas export expansion
Bassirou Diomaye Faye,Male,Africa,Senegal,Left-Nationalist,PASTEF,Recent,True,2024-Present,Youngest elected president in Senegal
Duma Gideon Boko,Male,Africa,Botswana,Center-Left,UDC,Recent,True,2024-Present,Major democratic shift in Botswana
Brice Oligui Nguema,Male,Africa,Gabon,Military,N/A,Recent,True,2023-Present,End of Bongo family rule
Angela Merkel,Female,Europe,Germany,Center-Right,CDU,Past,True,2005-2021,EU stability; handled 2008 financial crisis
Emmanuel Macron,Male,Europe,France,Center,RE,Recent,True,2017-Present,EU integration; pension reforms
Olaf Scholz,Male,Europe,Germany,Center-Left,SPD,Recent,True,2021-Present,Zeitenwende; energy transition
Ursula von der Leyen,Female,Europe,EU,Center-Right,EPP,Recent,True,2019-Present,European Commission President; Green Deal
Viktor Orbán,Male,Europe,Hungary,Right-Wing,Fidesz,Recent,True,2010-Present,Illiberal democracy; national sovereignty
Margaret Thatcher,Female,Europe,UK,Right,Conservative,Past,False,1979-1990,Thatcherism; privatization; Falklands War
Winston Churchill,Male,Europe,UK,Right,Conservative,Past,False,1940-1945,WWII leadership; Iron Curtain speech
Charles de Gaulle,Male,Europe,France,Right,Gaullist,Past,False,1958-1969,Fifth Republic founder; French sovereignty
Giorgia Meloni,Female,Europe,Italy,Right,FdI,Recent,True,2022-Present,First female PM of Italy; conservative shift
Keir Starmer,Male,Europe,UK,Center-Left,Labour,Recent,True,2024-Present,Returned Labour to power; post-Brexit policy
Volodymyr Zelenskyy,Male,Europe,Ukraine,Center,Servant of the People,Recent,True,2019-Present,War leadership; EU candidacy
Vladimir Putin,Male,Europe,Russia,Right,United Russia,Recent,True,1999-Present,Centralized power; Ukraine invasion
Kyriakos Mitsotakis,Male,Europe,Greece,Center-Right,ND,Recent,True,2019-Present,Greek economic recovery
Pedro Sánchez,Male,Europe,Spain,Center-Left,PSOE,Recent,True,2018-Present,Coalition governance; social reforms
Donald Tusk,Male,Europe,Poland,Center,PO,Recent,True,2007-2014/2023-Present,Pro-EU shift in Poland
Mette Frederiksen,Female,Europe,Denmark,Center-Left,Social Democrats,Recent,True,2019-Present,Strict immigration; welfare state
Kaja Kallas,Female,Europe,Estonia,Center-Right,Reform,Recent,True,2021-2024,Strong anti-Russia stance; EU diplomacy
Alexander De Croo,Male,Europe,Belgium,Center,Open Vld,Recent,True,2020-Present,Coalition management; EU presidency
Robert Fico,Male,Europe,Slovakia,Left-Nationalist,Smer-SD,Recent,True,2023-Present,Populist shift; neutrality on Ukraine
Konrad Adenauer,Male,Europe,Germany,Center-Right,CDU,Past,False,1949-1963,Post-war West Germany founder
Mikhail Gorbachev,Male,Europe,Russia/USSR,Center-Left,CPSU,Past,False,1985-1991,Glasnost; Perestroika; end of Cold War
Petr Fiala,Male,Europe,Czech Republic,Center-Right,ODS,Recent,True,2021-Present,Pro-Western orientation
Karl Nehammer,Male,Europe,Austria,Center-Right,ÖVP,Recent,True,2021-Present,Neutrality debates; immigration focus
Sanna Marin,Female,Europe,Finland,Center-Left,SDP,Past,True,2019-2023,NATO accession leader; pandemic response
Mark Rutte,Male,Europe,Netherlands,Center-Right,VVD,Recent,True,2010-2024,Longest serving Dutch PM; NATO Sec-Gen
Helmut Kohl,Male,Europe,Germany,Center-Right,CDU,Past,False,1982-1998,German reunification architect
Jacques Chirac,Male,Europe,France,Center-Right,UMP,Past,False,1995-2007,Opposed Iraq War; Euro transition
Dick Schoof,Male,Europe,Netherlands,Non-partisan,N/A,Recent,True,2024-Present,Technocratic leadership
Andrzej Duda,Male,Europe,Poland,Right,PiS-aligned,Recent,True,2015-Present,Judicial reforms controversy
Alexander Stubb,Male,Europe,Finland,Center-Right,NCP,Recent,True,2024-Present,Leading Finland's first years in NATO
Gatis Eglitis,Male,Europe,Latvia,Center-Right,Conservatives,Recent,True,2021-Present,Baltic security integration
Leo Varadkar,Male,Europe,Ireland,Center-Right,Fine Gael,Past,True,2017-2024,First openly gay Taoiseach; Brexit talks
Simon Harris,Male,Europe,Ireland,Center-Right,Fine Gael,Recent,True,2024-Present,Youngest Irish PM
António Costa,Male,Europe,Portugal,Center-Left,PS,Recent,True,2015-2024,Economic growth; future EU Council President
Luis Montenegro,Male,Europe,Portugal,Center-Right,PSD,Recent,True,2024-Present,Rightward shift in Portugal
Tony Blair,Male,Europe,UK,Center-Left,Labour,Past,False,1997-2007,New Labour; Iraq War; Good Friday Agreement
Silvio Berlusconi,Male,Europe,Italy,Right,FI,Past,True,1994-2011,Media mogul; personality politics
Václav Havel,Male,Europe,Czech Republic,Center,Civic Forum,Past,False,1989-2003,Velvet Revolution; dissident president
Felipe González,Male,Europe,Spain,Center-Left,PSOE,Past,False,1982-1996,Modernized post-Franco Spain
Eamon de Valera,Male,Europe,Ireland,Right,Fianna Fáil,Past,False,1921-1973,Irish independence and constitution
Sauli Niinistö,Male,Europe,Finland,Center-Right,NCP,Past,True,2012-2024,NATO application; Russia diplomacy
Jonas Gahr Støre,Male,Europe,Norway,Center-Left,Labour,Recent,True,2021-Present,Energy security in North Sea
Ulf Kristersson,Male,Europe,Sweden,Center-Right,Moderate,Recent,True,2022-Present,NATO accession; crime policy
Katia Palma,Female,Europe,Malta,Center-Left,PL,Recent,True,2022-Present,Labor rights and tourism development
Nikolaos Christodoulides,Male,Europe,Cyprus,Center,Independent,Recent,True,2023-Present,Cyprus reunificiation talks
Milos Zeman,Male,Europe,Czech Republic,Left,SPO,Past,True,2013-2023,Populist presidency
Nicoletta Spezzati,Female,Europe,Italy,Center,Independent,Recent,True,2024-Present,Economic policy advisor/Leader
Olof Palme,Male,Europe,Sweden,Socialist,Social Democrats,Past,False,1969-1986,Neutrality; anti-Vietnam War
Willy Brandt,Male,Europe,Germany,Center-Left,SPD,Past,False,1969-1974,Ostpolitik; reconciliation with East
Micheál Martin,Male,Europe,Ireland,Center-Right,Fianna Fáil,Recent,True,2020-Present,Coalition stability; Foreign Affairs
Narendra Modi,Male,Asia,India,Right,BJP,Recent,True,2014-Present,Digital India; Hindu nationalism; Global South lead
Xi Jinping,Male,Asia,China,Communist,CCP,Recent,True,2012-Present,Belt and Road Initiative; centralization of power
Lee Kuan Yew,Male,Asia,Singapore,Center-Right,PAP,Past,False,1959-1990,Founding father of modern Singapore
Fumio Kishida,Male,Asia,Japan,Center-Right,LDP,Recent,True,2021-2024,Defense buildup; G7 leadership
Yoon Suk Yeol,Male,Asia,South Korea,Right,PPP,Recent,True,2022-Present,Alignment with USA/Japan; labor reform
Indira Gandhi,Female,Asia,India,Center-Left,INC,Past,False,1966-1984,Green Revolution; Emergency rule
Mahathir Mohamad,Male,Asia,Malaysia,Nationalist,UMNO/PH,Past,True,1981-2003/2018-2020,Rapid industrialization; Vision 2020
Anwar Ibrahim,Male,Asia,Malaysia,Center-Left,PH,Recent,True,2022-Present,Reformasi movement; multi-racial politics
Shehbaz Sharif,Male,Asia,Pakistan,Center-Right,PML-N,Recent,True,2022-Present,Economic stabilization; flood recovery
Benazir Bhutto,Female,Asia,Pakistan,Center-Left,PPP,Past,False,1988-1996,First female PM in Muslim world
Prabowo Subianto,Male,Asia,Indonesia,Right,Gerindra,Recent,True,2024-Present,Military modernization; continuity of Jokowi policies
Joko Widodo,Male,Asia,Indonesia,Center-Left,PDI-P,Recent,True,2014-2024,Infrastructure boom; Moving the capital
Ferdinand Marcos Jr.,Male,Asia,Philippines,Center-Right,PFP,Recent,True,2022-Present,Modernization; pivoting back to USA
Corazon Aquino,Female,Asia,Philippines,Center,UNIDO,Past,False,1986-1992,People Power Revolution; restored democracy
Shinzo Abe,Male,Asia,Japan,Right,LDP,Past,True,2006-2020,Abenomics; Quad alliance architect
Park Geun-hye,Female,Asia,South Korea,Right,Saenuri,Past,True,2013-2017,Impeachment; first female Korean president
Sheikh Hasina,Female,Asia,Bangladesh,Center-Left,AL,Recent,True,2009-2024,Economic growth; infrastructure development
Deng Xiaoping,Male,Asia,China,Communist,CCP,Past,False,1978-1992,Reform and Opening Up; market socialism
Ho Chi Minh,Male,Asia,Vietnam,Communist,CPV,Past,False,1945-1969,Independence from France; Vietnamese unification
Hun Sen,Male,Asia,Cambodia,Center-Right,CPP,Recent,True,1985-2023,End of Khmer Rouge; long-term rule
Pita Limjaroenrat,Male,Asia,Thailand,Center-Left,Move Forward,Recent,True,2023-Present,Pro-democracy youth movement
Shigeru Ishiba,Male,Asia,Japan,Center-Right,LDP,Recent,True,2024-Present,Defense and rural revitalization
Lawrence Wong,Male,Asia,Singapore,Center-Right,PAP,Recent,True,2024-Present,Succession to 4G leadership
Tharman Shanmugaratnam,Male,Asia,Singapore,Center,Independent,Recent,True,2023-Present,Economist turned President
Srettha Thavisin,Male,Asia,Thailand,Center,Pheu Thai,Recent,True,2023-2024,Real estate mogul to PM
Paetongtarn Shinawatra,Female,Asia,Thailand,Center,Pheu Thai,Recent,True,2024-Present,Youngest Thai PM; Shinawatra dynasty
Kim Jong Un,Male,Asia,North Korea,Communist,WPK,Recent,True,2011-Present,Nuclear program; hereditary rule
To Lam,Male,Asia,Vietnam,Communist,CPV,Recent,True,2024-Present,Anti-corruption "blazing furnace"
Ranil Wickremesinghe,Male,Asia,Sri Lanka,Center-Right,UNP,Recent,True,2022-2024,Economic crisis management
Anura Kumara Dissanayake,Male,Asia,Sri Lanka,Left,NPP,Recent,True,2024-Present,Marxist-leaning reformist
Mohamed Muizzu,Male,Asia,Maldives,Right,PNC,Recent,True,2023-Present,China-leaning foreign policy
Tsai Ing-wen,Female,Asia,Taiwan,Center-Left,DPP,Recent,True,2016-2024,Semiconductor leadership; sovereignty
Lai Ching-te,Male,Asia,Taiwan,Center-Left,DPP,Recent,True,2024-Present,Continuity of democratic sovereignty
Pushpa Kamal Dahal,Male,Asia,Nepal,Communist,CPN-MC,Recent,True,2022-2024,Former Maoist rebel to PM
KP Sharma Oli,Male,Asia,Nepal,Communist,CPN-UML,Recent,True,2024-Present,Nationalist infrastructure focus
Aung San Suu Kyi,Female,Asia,Myanmar,Center-Left,NLD,Past,True,2016-2021,Nobel Peace Prize; military coup victim
Min Aung Hlaing,Male,Asia,Myanmar,Military,N/A,Recent,True,2021-Present,Military junta leader
Sultan Haitham,Male,Asia,Oman,Monarchy,N/A,Recent,True,2020-Present,Oman Vision 2040
Ayatollah Ali Khamenei,Male,Asia,Iran,Theocracy,N/A,Recent,True,1989-Present,Supreme Leader; anti-Western policy
Masoud Pezeshkian,Male,Asia,Iran,Center-Left,Reformist,Recent,True,2024-Present,Reformist president; nuclear diplomacy
Recep Tayyip Erdoğan,Male,Asia,Asia/Europe,Right,AKP,Recent,True,2003-Present,Neo-Ottomanism; regional power broker
Mahatma Gandhi,Male,Asia,India,Center,INC,Past,False,1915-1948,Non-violence; Father of the Nation
Jawaharlal Nehru,Male,Asia,India,Socialist,INC,Past,False,1947-1964,Non-Aligned Movement; secular India
King Salman,Male,Asia,Saudi Arabia,Monarchy,N/A,Recent,True,2015-Present,Custodianship; stability
Mohammed bin Salman,Male,Asia,Saudi Arabia,Monarchy,N/A,Recent,True,2017-Present,Vision 2030; social liberalization
Imran Khan,Male,Asia,Pakistan,Center,PTI,Past,True,2018-2022,Anti-corruption; populist cricket star
Manmohan Singh,Male,Asia,India,Center-Left,INC,Past,False,2004-2014,Economic liberalization architect
Gloria Macapagal Arroyo,Female,Asia,Philippines,Center-Right,Lakas,Past,True,2001-2010,Economic growth; legislative lead
Ukhnaagiin Khürelsükh,Male,Asia,Mongolia,Center-Left,MPP,Recent,True,2021-Present,Post-pandemic recovery
Joe Biden,Male,North America,USA,Center-Left,Democratic,Recent,True,2021-2025,Infrastructure bill; NATO strengthening
Donald Trump,Male,North America,USA,Right,Republican,Recent,True,2017-2021/2025-Present,America First; judicial appointments
Justin Trudeau,Male,North America,Canada,Center-Left,Liberal,Recent,True,2015-Present,Social progressivism; carbon tax
Claudia Sheinbaum,Female,North America,Mexico,Left,MORENA,Recent,True,2024-Present,First female President of Mexico
Barack Obama,Male,North America,USA,Center-Left,Democratic,Past,True,2009-2017,Affordable Care Act; first Black president
Andrés Manuel López Obrador,Male,North America,Mexico,Left,MORENA,Recent,True,2018-2024,Fourth Transformation; social programs
Pierre Trudeau,Male,North America,Canada,Center-Left,Liberal,Past,False,1968-1984,Charter of Rights and Freedoms
Ronald Reagan,Male,North America,USA,Right,Republican,Past,False,1981-1989,Reaganomics; end of Cold War
Franklin D. Roosevelt,Male,North America,USA,Left-Center,Democratic,Past,False,1933-1945,New Deal; WWII leadership
Kamala Harris,Female,North America,USA,Center-Left,Democratic,Recent,True,2021-Present,First female VP; voting rights focus
Gretchen Whitmer,Female,North America,USA,Center-Left,Democratic,Recent,True,2019-Present,Infrastructure; Midwest leadership
Ron DeSantis,Male,North America,USA,Right,Republican,Recent,True,2019-Present,Florida conservative reforms
Nikki Haley,Female,North America,USA,Center-Right,Republican,Recent,True,2017-2018 (UN),Foreign policy advocate
Bernie Sanders,Male,North America,USA,Socialist,Independent,Recent,True,2007-Present,Progressive healthcare advocate
Alexandria Ocasio-Cortez,Female,North America,USA,Left,Democratic,Recent,True,2019-Present,Green New Deal spokesperson
Pierre Poilievre,Male,North America,Canada,Right,Conservative,Recent,True,2022-Present,Cost-of-living focus; Opposition lead
Chrystia Freeland,Female,North America,Canada,Center-Left,Liberal,Recent,True,2013-Present,Finance Minister; NAFTA negotiator
Jagmeet Singh,Male,North America,Canada,Left,NDP,Recent,True,2017-Present,Supply-and-confidence agreement
Bill Clinton,Male,North America,USA,Center,Democratic,Past,False,1993-2001,Economic boom; NAFTA signing
George W. Bush,Male,North America,USA,Right,Republican,Past,False,2001-2009,War on Terror; PEPFAR
John F. Kennedy,Male,North America,USA,Center-Left,Democratic,Past,False,1961-1963,Space Race; Cuban Missile Crisis
Vicente Fox,Male,North America,Mexico,Center-Right,PAN,Past,False,2000-2006,Ended 71-year PRI rule
Enrique Peña Nieto,Male,North America,Mexico,Center,PRI,Past,True,2012-2018,Structural reforms; Pacto por México
Xóchitl Gálvez,Female,North America,Mexico,Center-Right,PAN,Recent,True,2023-Present,Opposition leader
Hillary Clinton,Female,North America,USA,Center-Left,Democratic,Past,True,2009-2013,Secretary of State; first female major nominee
Abraham Lincoln,Male,North America,USA,Center-Right,Republican,Past,False,1861-1865,Emancipation Proclamation; Civil War
Brian Mulroney,Male,North America,Canada,Right,Progressive Cons,Past,False,1984-1993,Canada-US Free Trade Agreement
Stephen Harper,Male,North America,Canada,Right,Conservative,Past,True,2006-2015,Arctic sovereignty; economic focus
Mia Mottley,Female,North America,Barbados,Center-Left,BLP,Recent,True,2018-Present,Climate finance; republicanism
Andrew Holness,Male,North America,Jamaica,Center-Right,JLP,Recent,True,2016-Present,Economic growth; infrastructure
Portia Simpson-Miller,Female,North America,Jamaica,Center-Left,PNP,Past,True,2012-2016,First female PM of Jamaica
Philip Davis,Male,North America,Bahamas,Center-Left,PLP,Recent,True,2021-Present,Carbon credit pioneer
Gaston Browne,Male,North America,Antigua,Center-Left,ABLP,Recent,True,2014-Present,Economic diversification
Luis Rodolfo Abinader,Male,North America,Dominican Republic,Center,PRM,Recent,True,2020-Present,Anti-corruption; tourism growth
Nayib Bukele,Male,North America,Central America,Right,Nuevas Ideas,Recent,True,2019-Present,Bitcoin law; gang crackdown
Daniel Ortega,Male,North America,Central America,Left,FSLN,Recent,True,2007-Present,Sandinista movement; authoritarian turn
Xiomara Castro,Female,North America,Central America,Left,LIBRE,Recent,True,2022-Present,First female President of Honduras
Miguel Díaz-Canel,Male,North America,Cuba,Communist,PCC,Recent,True,2018-Present,Post-Castro transition
Fidel Castro,Male,North America,Cuba,Communist,PCC,Past,False,1959-2008,Cuban Revolution
Bernardo Arévalo,Male,North America,Central America,Center-Left,Semilla,Recent,True,2024-Present,Anti-corruption mandate in Guatemala
Ariel Henry,Male,North America,Haiti,Center,Independent,Past,True,2021-2024,Attempted transition post-assassination
Hakeem Jeffries,Male,North America,USA,Center-Left,Democratic,Recent,True,2023-Present,House Minority Leader
Mike Johnson,Male,North America,USA,Right,Republican,Recent,True,2023-Present,Speaker of the House
Mitt Romney,Male,North America,USA,Center-Right,Republican,Recent,True,2019-Present,Senator; bipartisan consensus
Nancy Pelosi,Female,North America,USA,Center-Left,Democratic,Recent,True,2007-2023,First female Speaker
Elizabeth Warren,Female,North America,USA,Left,Democratic,Recent,True,2013-Present,Consumer protection; wealth tax
Doug Ford,Male,North America,Canada,Right,PC,Recent,True,2018-Present,Premier of Ontario
Mark Kelly,Male,North America,USA,Center,Democratic,Recent,True,2020-Present,Astronaut-Senator; border policy
Felipe Calderón,Male,North America,Mexico,Right,PAN,Past,False,2006-2012,War on drugs
Jean Chrétien,Male,North America,Canada,Center,Liberal,Past,False,1993-2003,Kept Canada out of Iraq War
Lula da Silva,Male,South America,Brazil,Left,PT,Recent,True,2003-2010/2023-Present,Bolsa Família; BRICS leadership
Javier Milei,Male,South America,Argentina,Libertarian,LLA,Recent,True,2023-Present,Anarcho-capitalist reforms; shock therapy
Gabriel Boric,Male,South America,Chile,Left,Social Convergence,Recent,True,2022-Present,Student activist to President; social reform
Gustavo Petro,Male,South America,Colombia,Left,Humane Colombia,Recent,True,2022-Present,First leftist President; energy transition
Dina Boluarte,Female,South America,Peru,Center,Independent,Recent,True,2022-Present,First female President of Peru
Nicolás Maduro,Male,South America,Venezuela,Socialist,PSUV,Recent,True,2013-Present,Bolivarian Revolution continuity
Hugo Chávez,Male,South America,Venezuela,Socialist,PSUV,Past,False,1999-2013,Pink Tide founder; oil nationalism
Alberto Fernández,Male,South America,Argentina,Left-Center,PJ,Past,True,2019-2023,Pandemic management; debt restructuring
Cristina Kirchner,Female,South America,Argentina,Left,PJ,Past,True,2007-2015/2019-2023,Kirchnerism; social subsidies
Jair Bolsonaro,Male,South America,Brazil,Right,PL,Past,True,2019-2022,Conservative populism; Amazon policy
Michelle Bachelet,Female,South America,Chile,Center-Left,PS,Past,True,2006-2018,Social welfare; UN Human Rights lead
Sebastián Piñera,Male,South America,Chile,Center-Right,RN,Past,True,2010-2022,Economic growth; Chilean miner rescue
Luis Arce,Male,South America,Bolivia,Socialist,MAS,Recent,True,2020-Present,Lithium industrialization; Morales protégé
Evo Morales,Male,South America,Bolivia,Socialist,MAS,Past,True,2006-2019,First Indigenous president of Bolivia
Santiago Peña,Male,South America,Paraguay,Center-Right,Colorado,Recent,True,2023-Present,Economic technocrat
Luis Lacalle Pou,Male,South America,Uruguay,Center-Right,National,Recent,True,2020-Present,Market-friendly policies; stability
José Mujica,Male,South America,Uruguay,Left,Broad Front,Past,False,2010-2015,"World's poorest president"; cannabis legalization
Daniel Noboa,Male,South America,Ecuador,Center-Right,ADN,Recent,True,2023-Present,Security focus; youngest Ecuador president
Guillermo Lasso,Male,South America,Ecuador,Center-Right,CREO,Past,True,2021-2023,Banker turned president; vaccination success
Rafael Correa,Male,South America,Ecuador,Socialist,PAIS,Past,True,2007-2017,Citizens' Revolution; infrastructure
Irfaan Ali,Male,South America,Guyana,Center-Left,PPP/C,Recent,True,2020-Present,Oil boom management
Chan Santokhi,Male,South America,Suriname,Center,VHP,Recent,True,2020-Present,Economic recovery post-Bouterse
Desi Bouterse,Male,South America,Suriname,Nationalist,NDP,Past,True,2010-2020,Military leader turned president
Juan Manuel Santos,Male,South America,Colombia,Center,U Party,Past,True,2010-2018,FARC Peace Accord; Nobel Peace Prize
Álvaro Uribe,Male,South America,Colombia,Right,CD,Past,True,2002-2010,Democratic Security policy
Simón Bolívar,Male,South America,Pan-Region,Nationalist,N/A,Past,False,1819-1830,The Liberator of South America
Bernardo O'Higgins,Male,South America,Chile,Nationalist,N/A,Past,False,1817-1823,Founding father of Chile
Getúlio Vargas,Male,South America,Brazil,Nationalist,PTB,Past,False,1930-1945,Estado Novo; industrialization
Juan Perón,Male,South America,Argentina,Labor,PJ,Past,False,1946-1955,Peronism; workers' rights
Salvador Allende,Male,South America,Chile,Socialist,PS,Past,False,1970-1973,Democratic socialist; deposed in coup
Dilma Rousseff,Female,South America,Brazil,Left,PT,Past,True,2011-2016,First female Brazil President; NDB head
Fernando Henrique Cardoso,Male,South America,Brazil,Center,PSDB,Past,False,1995-2002,Real Plan; hyperinflation end
Eduardo Frei Ruiz-Tagle,Male,South America,Chile,Center,PDC,Past,False,1994-2000,Modernized Chilean trade
Ricardo Lagos,Male,South America,Chile,Center-Left,PPD,Past,False,2000-2006,Free trade agreements; infrastructure
Tabaré Vázquez,Male,South America,Uruguay,Center-Left,Broad Front,Past,False,2005-2020,Tobacco control; social equality
Mauricio Macri,Male,South America,Argentina,Center-Right,PRO,Past,True,2015-2019,Market opening; IMF loan
Mario Abdo Benítez,Male,South America,Paraguay,Right,Colorado,Past,True,2018-2023,Infrastructure development
Lenín Moreno,Male,South America,Ecuador,Center,PAIS,Past,True,2017-2021,Shift away from Correism
Pedro Castillo,Male,South America,Peru,Left,Peru Libre,Past,True,2021-2022,Attempted self-coup; rural teacher
Francisco Sagasti,Male,South America,Peru,Center,PM,Past,True,2020-2021,Transition president; vaccines
Ollanta Humala,Male,South America,Peru,Center-Left,PNP,Past,False,2011-2016,Inclusion social programs
Alan García,Male,South America,Peru,Center-Left,APRA,Past,False,1985-2011,Economic growth; trade hubs
Iván Duque,Male,South America,Colombia,Right,CD,Past,True,2018-2022,Orange Economy; migrant support
Verónika Mendoza,Female,South America,Peru,Left,JP,Recent,True,2021-Present,Progressive opposition leader
Gleisi Hoffmann,Female,South America,Brazil,Left,PT,Recent,True,2017-Present,PT party president
Federico Gutiérrez,Male,South America,Colombia,Right,Creemos,Recent,True,2024-Present,Security-focused mayor/leader
